ID;RA;Nome;Sobrenome;Email;Telefone;Celular;Data Entrada
1;20583564;AARON;LITTLETON ;SEM@EMAIL.COM;0;0;00/00/0000
2;20788083;ABEL;URSINHO PUFF;SEM@EMAIL.COM;0;0;00/00/0000
3;20404332;ABRAHAM;SIMPSON;SEM@EMAIL.COM;0;0;00/00/0000
4;20755671;ALASTOR;MOODY ;SEM@EMAIL.COM;0;0;00/00/0000
5;20582645;ALEC;BALDWIN;SEM@EMAIL.COM;0;0;00/00/0000
6;20885720;ALFINHO;SEM NOME;SEM@EMAIL.COM;0;0;00/00/0000
7;20694781;ALLISON;TAYLOR THE SIMPSONS;SEM@EMAIL.COM;0;0;00/00/0000
8;20351520;ALVAR;HANSO ;SEM@EMAIL.COM;0;0;00/00/0000
9;20690198;ALVO;PERCIVAL WULFRIC BRIAN DUMBLEDORE ;SEM@EMAIL.COM;0;0;00/00/0000
10;20477418;AMOS;DIGGORY;SEM@EMAIL.COM;0;0;00/00/0000
11;20645029;ANA;ABBOTT;SEM@EMAIL.COM;0;0;00/00/0000
12;20351836;ANDY;PANDA;SEM@EMAIL.COM;0;0;00/00/0000
13;20283054;ANGELINA;JOLIE;SEM@EMAIL.COM;0;0;00/00/0000
14;20589132;ANTHONY;COOPER ;SEM@EMAIL.COM;0;0;00/00/0000
15;20657496;ANTHONY;GOLDSTEIN ;SEM@EMAIL.COM;0;0;00/00/0000
16;20306338;ANTONIN;DOLOHOV;SEM@EMAIL.COM;0;0;00/00/0000
17;20555078;APOLLINE;DELACOUR;SEM@EMAIL.COM;0;0;00/00/0000
18;20871714;APPLE;WHITE;SEM@EMAIL.COM;0;0;00/00/0000
19;20485676;APU;NAHASAPEEMAPETILON;SEM@EMAIL.COM;0;0;00/00/0000
20;20352167;ARABELLA;DORA FIGG ;SEM@EMAIL.COM;0;0;00/00/0000
21;20593506;ARETHA;FRANKLIN;SEM@EMAIL.COM;0;0;00/00/0000
22;20675463;ARGO;FILCH ;SEM@EMAIL.COM;0;0;00/00/0000
23;20872960;ARIEL;SEM NOME;SEM@EMAIL.COM;0;0;00/00/0000
24;20325777;ARMANDO;DIPPET ;SEM@EMAIL.COM;0;0;00/00/0000
25;20622954;ARTHUR;WEASLEY ;SEM@EMAIL.COM;0;0;00/00/0000
26;20740821;ARYA;STARK;SEM@EMAIL.COM;0;0;00/00/0000
27;20761390;ASHLYNN;ELLA;SEM@EMAIL.COM;0;0;00/00/0000
28;20760846;ASTORIA;GREENGRASS ;SEM@EMAIL.COM;0;0;00/00/0000
29;20752971;AUGUSTUS;ROOKWOOD ;SEM@EMAIL.COM;0;0;00/00/0000
30;20744029;AVERY;LESTRANGE ;SEM@EMAIL.COM;0;0;00/00/0000
31;20826888;BABAR;SEM NOME;SEM@EMAIL.COM;0;0;00/00/0000
32;20575540;BAMBI;SEM NOME;SEM@EMAIL.COM;0;0;00/00/0000
